# source_k6_atoms=51 rank_five_labeled=2012 distinct_triangle_count_vectors=1782
6,6,6,6,0,6,6,5,6,2,4,3,6,2,4,6,2,4,2,2,2,0,0,0,0,0,16,17,18,18,18,19,20,20,20,20,27,27,27,30,35,39,40,40,42,43,46,46,46,49,49,50,50,50,50,50
6,6,6,6,0,6,6,5,6,2,2,3,6,2,4,6,2,5,2,4,2,0,0,0,0,0,16,17,18,18,19,19,20,20,20,20,27,27,28,30,36,39,40,40,43,45,46,46,49,49,49,50,50,50,50,50
4,4,2,2,6,4,4,2,3,6,3,2,4,6,2,6,0,6,2,2,2,0,0,0,0,0,16,18,18,18,18,18,20,20,20,20,21,22,22,24,24,24,24,25,25,27,27,27,27,30,35,35,41,46,46,46
4,4,2,2,6,6,4,2,3,6,6,2,4,6,2,6,0,2,2,2,6,0,0,0,0,0,16,18,18,18,18,20,20,20,20,20,20,20,22,24,24,24,25,27,27,27,27,30,35,41,46,46,46,46,50,50
6,4,2,2,6,2,4,2,2,6,4,2,5,6,6,6,0,2,2,4,6,0,0,0,0,0,16,18,18,18,18,20,20,20,20,20,20,20,25,26,26,27,27,27,27,29,29,30,43,43,45,46,46,46,50,50
4,4,2,2,6,2,4,2,3,6,6,2,4,6,6,6,0,2,2,4,6,0,0,0,0,0,16,18,18,18,18,20,20,20,20,22,24,24,25,27,27,27,27,27,27,30,35,37,41,43,46,46,46,46,50,50
6,6,4,4,2,2,6,2,2,2,0,2,4,4,2,6,2,6,4,6,6,0,0,0,0,0,16,18,18,18,20,20,20,20,20,20,25,27,27,27,27,27,27,27,27,27,27,27,27,30,41,43,43,46,50,50
4,4,2,2,6,6,4,2,3,6,2,2,4,6,6,6,0,2,2,3,6,0,0,0,0,0,16,18,18,18,20,20,20,20,21,22,24,24,24,24,24,25,27,27,27,27,30,35,37,41,46,46,46,46,50,50
5,5,5,5,2,6,5,5,6,2,6,2,5,2,6,5,2,6,2,6,0,0,0,0,0,0,16,19,19,19,19,19,19,19,19,20,28,28,28,30,47,47,47,47,48,48,48,49,49,49,49,49,49,49,49,50
5,2,3,2,2,6,3,2,5,6,2,2,3,6,2,5,2,6,6,2,0,0,0,0,0,0,17,17,17,17,17,17,19,20,20,20,20,20,20,20,20,23,23,23,23,28,28,29,29,29,29,33,40,40,40,49
5,3,2,3,6,6,3,2,6,3,6,2,6,6,6,2,2,0,3,6,6,0,0,0,0,0,17,17,17,17,17,19,20,20,20,20,33,34,34,34,34,39,39,40,40,40,40,40,40,40,40,49,50,50,50,50
6,6,6,6,0,6,6,5,6,2,3,3,6,2,5,6,2,3,2,3,2,0,0,0,0,0,17,17,17,17,19,19,20,20,20,20,33,33,34,34,39,39,39,40,40,40,40,40,49,49,49,50,50,50,50,50
6,6,6,6,0,6,6,5,6,2,3,3,6,2,3,6,2,6,2,3,2,0,0,0,0,0,17,17,17,17,19,20,20,20,20,20,34,34,34,34,39,39,40,40,40,40,40,40,49,49,50,50,50,50,50,50
6,4,2,2,6,2,4,2,2,6,2,2,5,6,2,6,0,6,2,3,2,0,0,0,0,0,17,17,17,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,23,26,26,29,29,40,43,46,46,50
6,6,6,6,0,6,6,5,6,2,5,3,6,2,3,6,2,5,2,3,2,0,0,0,0,0,17,17,17,19,19,19,20,20,20,20,33,34,39,39,39,39,40,40,40,40,47,49,49,49,49,50,50,50,50,50
6,6,6,6,0,6,6,5,6,2,3,3,6,2,3,6,2,6,2,5,2,0,0,0,0,0,17,17,17,19,19,20,20,20,20,20,34,34,39,39,39,39,40,40,40,40,49,49,49,49,50,50,50,50,50,50
6,6,6,6,0,6,6,5,6,2,6,3,6,2,6,6,2,3,2,3,2,0,0,0,0,0,17,17,17,19,20,20,20,20,20,20,34,34,39,39,40,40,40,40,40,40,49,49,50,50,50,50,50,50,50,50
4,4,2,2,6,2,4,2,3,6,3,2,4,6,4,6,0,6,2,3,2,0,0,0,0,0,17,17,18,18,18,20,20,20,20,22,22,24,24,24,24,25,25,27,27,27,27,31,35,35,35,40,41,46,46,46
6,6,6,6,0,2,6,5,6,2,2,3,6,2,2,6,2,2,2,2,6,0,0,0,0,0,17,17,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,39,40,40,49,49,50,50,50,50,50
6,6,6,6,0,6,6,5,6,2,6,3,6,2,6,6,2,3,2,5,2,0,0,0,0,0,17,17,19,19,20,20,20,20,20,20,34,39,39,39,40,40,40,49,49,49,49,49,50,50,50,50,50,50,50,50
