source_index	target_index	relation
332	18388	strict
332	129824	strict
332	129832	strict
332	132242	strict
332	132250	strict
332	132258	strict
332	132286	strict
333	18376	equal
333	132286	strict
334	18487	equal
334	18489	strict
334	20046	strict
334	20048	strict
334	21197	strict
334	21198	strict
334	21199	strict
334	21200	strict
335	18488	equal
335	21200	strict
336	18770	equal
336	18772	strict
336	21262	strict
336	21263	strict
336	21314	strict
336	21315	strict
336	21316	strict
336	21317	strict
337	18771	equal
337	21317	strict
338	18779	equal
338	18813	strict
338	30526	strict
338	30534	strict
338	114963	strict
338	114971	strict
338	114979	strict
338	114995	strict
339	18785	equal
339	114995	strict
340	18868	equal
340	18883	strict
340	40571	strict
340	40579	strict
340	83448	strict
340	83456	strict
340	83464	strict
340	83480	strict
341	18873	equal
341	83480	strict
342	19410	equal
342	19412	strict
342	21496	strict
342	21497	strict
342	21687	strict
342	21688	strict
342	21689	strict
342	21690	strict
343	19411	equal
343	21690	strict
344	19419	equal
344	19453	strict
344	30572	strict
344	30580	strict
344	133467	strict
344	133475	strict
344	133487	strict
344	133508	strict
345	19425	equal
345	133508	strict
346	19708	equal
346	27536	strict
346	189222	strict
346	189226	strict
346	190131	strict
346	190139	strict
346	190140	strict
346	190143	strict
347	19709	equal
347	190143	strict
348	19710	equal
348	27537	strict
348	189224	strict
348	189227	strict
348	189310	strict
348	189326	strict
348	189327	strict
348	189330	strict
349	19711	equal
349	189330	strict
350	19714	equal
350	27540	strict
350	44901	strict
350	46181	strict
350	48589	strict
350	48595	strict
350	48596	strict
350	48599	strict
351	19715	equal
351	48599	strict
352	19718	equal
352	27543	strict
352	44905	strict
352	45263	strict
352	46184	strict
352	46542	strict
352	46544	strict
352	46546	strict
353	19719	equal
353	46546	strict
354	19722	equal
354	20444	strict
354	27545	strict
354	28627	strict
354	178894	strict
354	178911	strict
354	178912	strict
354	178915	strict
355	19723	equal
355	178915	strict
356	19726	equal
356	20458	strict
356	27548	strict
356	28633	strict
356	45383	strict
356	46736	strict
356	46738	strict
356	46740	strict
357	19727	equal
357	46740	strict
358	19858	equal
358	31181	strict
358	31184	strict
358	177802	strict
358	177806	strict
358	190054	strict
358	190060	strict
358	190061	strict
358	190064	strict
359	19859	equal
359	20440	strict
359	28625	strict
359	177804	strict
359	177807	strict
359	178825	strict
359	178842	strict
359	178843	strict
359	178846	strict
360	19860	equal
360	31189	strict
360	31193	strict
360	44975	strict
360	46245	strict
360	48445	strict
360	48476	strict
360	48478	strict
360	48480	strict
361	19861	equal
361	20454	strict
361	28630	strict
361	44977	strict
361	45375	strict
361	46246	strict
361	46704	strict
361	46706	strict
361	46708	strict
362	19998	equal
362	20000	strict
362	21090	strict
362	21091	strict
362	21100	strict
362	21101	strict
362	21102	strict
362	21103	strict
363	19999	equal
363	21103	strict
364	20001	equal
364	20003	strict
364	21111	strict
364	21112	strict
364	21127	strict
364	21128	strict
364	21129	strict
364	21130	strict
365	20002	equal
365	21130	strict
366	20019	equal
367	20020	equal
368	20046	equal
368	20048	strict
368	21197	strict
368	21198	strict
368	21199	strict
368	21200	strict
369	20047	equal
369	21200	strict
370	20062	equal
370	21326	strict
371	20069	equal
371	20082	strict
371	20084	strict
371	21265	strict
371	21266	strict
371	21323	strict
371	21324	strict
371	21325	strict
371	21326	strict
372	20082	equal
372	20084	strict
372	21323	strict
372	21324	strict
372	21325	strict
372	21326	strict
373	20083	equal
373	21326	strict
374	20106	equal
374	21709	strict
