source_index	target_index	relation
228	8238	strict
228	8240	strict
228	8242	strict
228	8244	strict
228	8246	strict
228	8251	strict
228	8500	strict
228	12610	strict
229	1280	equal
229	8246	strict
229	8251	strict
230	1283	equal
230	1284	strict
230	1286	strict
230	2441	strict
230	2744	strict
230	6986	strict
230	8146	strict
230	8147	strict
230	8253	strict
230	8507	strict
230	8508	strict
230	8514	strict
230	8517	strict
230	8519	strict
230	8523	strict
230	12613	strict
231	1286	equal
231	8519	strict
231	8523	strict
232	1290	equal
232	1291	strict
232	1293	strict
232	1313	strict
232	1436	strict
232	1456	strict
232	1457	strict
232	1497	strict
232	7140	strict
232	8559	strict
232	8560	strict
232	8564	strict
232	8569	strict
232	8571	strict
232	8575	strict
232	12909	strict
233	1293	equal
233	8571	strict
233	8575	strict
234	1298	equal
234	1386	strict
234	1388	strict
234	1423	strict
234	2109	strict
234	2111	strict
234	2147	strict
235	1299	equal
235	1300	strict
235	1301	strict
235	1304	strict
235	1306	strict
235	2119	strict
235	2123	strict
235	2125	strict
235	3920	strict
235	3923	strict
235	3924	strict
235	3930	strict
235	3934	strict
235	3936	strict
235	6441	strict
236	1300	equal
236	1301	strict
236	1306	strict
236	3930	strict
236	3936	strict
237	1302	equal
237	1305	strict
237	1306	strict
237	2121	strict
237	2127	strict
237	6445	strict
238	1306	equal
239	1307	equal
239	1389	strict
239	1391	strict
239	1430	strict
239	2139	strict
239	2141	strict
239	2145	strict
240	1310	equal
240	2453	strict
241	1313	equal
241	12909	strict
242	1317	equal
242	1318	strict
242	1320	strict
242	5058	strict
242	6234	strict
242	6245	strict
242	6993	strict
242	6995	strict
242	7105	strict
242	7106	strict
242	7107	strict
242	7109	strict
242	7113	strict
242	7118	strict
242	7149	strict
242	8149	strict
243	1318	equal
243	7113	strict
243	7149	strict
244	1322	equal
244	1323	strict
244	1325	strict
244	5059	strict
244	6235	strict
244	6236	strict
244	6996	strict
244	6998	strict
244	7114	strict
244	7120	strict
244	7121	strict
244	7124	strict
244	7126	strict
244	7128	strict
244	7151	strict
244	8152	strict
245	1323	equal
245	7128	strict
245	7151	strict
246	1381	equal
246	1424	strict
246	1426	strict
246	1441	strict
246	1442	strict
246	1443	strict
246	1445	strict
246	1477	strict
246	6993	strict
246	6994	strict
246	6995	strict
246	7105	strict
246	7107	strict
246	7109	strict
246	7113	strict
246	7154	strict
246	8165	strict
247	1382	equal
247	1423	strict
247	1444	strict
247	1446	strict
247	1447	strict
247	1448	strict
247	1471	strict
247	1480	strict
247	6996	strict
247	6997	strict
247	6998	strict
247	7120	strict
247	7121	strict
247	7126	strict
247	7128	strict
247	7155	strict
247	8166	strict
248	1383	equal
248	1428	strict
248	1431	strict
248	1451	strict
248	1452	strict
248	1453	strict
248	1455	strict
248	1490	strict
248	6999	strict
248	8167	strict
248	8168	strict
248	8169	strict
248	8538	strict
248	8540	strict
248	8544	strict
248	8546	strict
248	8550	strict
249	1384	equal
249	1430	strict
249	1454	strict
249	1456	strict
249	1457	strict
249	1458	strict
249	1492	strict
249	1494	strict
249	7000	strict
249	8170	strict
249	8171	strict
