canonical_graph6,n,m,origin_count,gamma,alpha,earliest_forced_rank,latest_forced_rank,full_kernel_deletion_depth
KI[o|ONs^Luy,12,36,4,3,4,,,
KI\OXgZjvLU\,12,35,4,3,4,,,
KI\_Xi^tdUuZ,12,36,4,3,4,,,
KI\_\g^tdTuZ,12,36,4,3,4,,,
KI]GxWrK~LYj,12,35,2,3,4,,,
KI_XPkvzUt~o,12,36,2,3,4,,,
KIz^cueMXjh~,12,40,2,2,4,,,
KJC\@[}qmm|i,12,36,4,3,4,,,
KJC_|W}pnUzi,12,36,4,3,4,,,
KJGPW}{rNMzY,12,36,2,3,4,,,
KJO\Ogfu~ZVw,12,36,4,3,4,,,
KJO\Og~uvYSz,12,36,4,3,4,,,
KJOg_}eYy|Vw,12,34,4,3,4,,,
KJOg_}ey}|Vw,12,36,4,3,4,,,
KJOgom}yuySz,12,36,4,3,4,,,
KJOk`w^ym{Sz,12,36,4,3,3,2,3,3
KJP\WgzySrsz,12,36,4,3,4,,,
KJP\WoTH~Rv[,12,35,4,3,4,,,
KJPhOg^huuv[,12,35,4,3,4,,,
KJPitojFPLav,12,33,2,3,4,,,
KJPlOwTH}tv[,12,35,4,3,4,,,
KJSOxYjrVLuy,12,36,4,3,4,,,
KJSO|OnrVLuy,12,36,4,3,4,,,
KJSPP]]rVLuy,12,36,4,3,4,,,
KJSk`W^qvLuy,12,36,4,3,3,2,3,3
KJTH[gZx\Tux,12,36,4,3,4,,,
KJTLWgXx\nT],12,36,4,3,4,,,
KJT_g}gJ}\U\,12,35,4,3,4,,,
KJT`[g^rTTuZ,12,36,4,3,3,1,3,3
KJTa[kiF\Xu\,12,35,4,3,4,,,
KJTchO^rtZUZ,12,36,4,3,4,,,
KJWX`]]qmisz,12,36,4,3,4,,,
KJWg|_^q]ksz,12,36,4,3,3,1,3,3
KJXKxGZt\Rux,12,36,4,3,4,,,
KJXPGwZju\U\,12,35,4,3,4,,,
KJXQ\K[ElZu],12,35,2,3,4,,,
KJXTGwXrl^U],12,36,4,3,4,,,
KJXT`W\rdNr],12,36,2,3,3,2,3,3
KKSx|NJ}VhW~,12,40,4,2,3,,,
KLNvPqNsqZj~,12,41,4,2,3,,,
KLmckXtZafh^,12,37,2,2,3,,,
KMKHY}}bvk{m,12,39,4,2,3,,,
KMw`k\^nfiW~,12,40,4,2,3,,,
KNKH[|Njel{m,12,39,4,2,3,,,
KNw`i]mfujW~,12,40,4,2,3,,,
KPHIbhjFo|~o,12,34,2,3,4,,,
KPL{qvhxulB~,12,40,4,2,3,,,
KPf^VGx\ivH~,12,40,4,2,3,,,
KP}VMWtVjfH~,12,40,4,2,3,,,
KQ?x{|mr^s~K,12,39,2,2,3,,,
KQK{zZF{vpX~,12,41,2,2,3,,,
KQoxk|m}fbW~,12,40,2,2,4,,,
KQ{pk|m{eJw~,12,40,2,2,3,,,
KQ{xkleq~bW~,12,40,2,2,3,,,
KQ}^eKuLZRh~,12,40,4,2,3,,,
KR?xy]NzUt~K,12,39,2,2,3,,,
KRH?ZWvUo|~o,12,34,4,3,4,,,
KRKy[^it^eX~,12,41,2,2,3,,,
KRNvPpNssZj~,12,41,4,2,3,,,
KRW?i[m\Y|Vw,12,34,4,3,4,,,
KR`Nxw|xMqw^,12,39,1,2,3,,,
KRwxi]FunbW~,12,40,4,2,3,,,
KRz^e?xLYVo~,12,38,2,3,3,3,4,4
KR{pi]NxUdw~,12,40,2,2,3,,,
KR~VKWtKyVh~,12,40,4,2,3,,,
KSwxi|eunbW~,12,40,4,2,3,,,
KSz^ateMXjh~,12,40,2,2,3,,,
KS{pi|mxUdw~,12,40,2,2,3,,,
KUKj{xL|NFX~,12,41,4,2,3,,,
KV?hZ}]VnSxl,12,39,4,2,3,,,
KVGj{x\xMUx~,12,41,4,2,3,,,
KVKizYMt^FX~,12,41,4,2,3,,,
KV^`P\Vrcfz~,12,42,4,2,3,,,
KVspZ\UbnBw~,12,40,4,2,3,,,
KVzKj@tUpVo~,12,38,4,2,3,,,
KWEz|pxrMeb~,12,40,1,2,3,,,
KWlueAv]u]Bn,12,38,2,3,4,,,
KWmVmXtUpxh~,12,40,4,2,3,,,
KWutuWV[zxH~,12,40,4,2,3,,,
KXEzst[y]NB~,12,40,2,2,3,,,
KXlv?}VUuXz~,12,42,2,2,3,,,
KXmU^G\\ivH~,12,40,4,2,3,,,
KYu~cSVLZRh~,12,40,4,2,3,,,
KZu^LOtDyVh~,12,40,4,2,3,,,
KZuu\OVFZFh~,12,40,4,2,3,,,
K[]eaIz\u]Bn,12,38,4,2,3,,,
K[vtQ\wKwnh~,12,40,4,2,3,,,
K\ZCQb^xp}Bz,12,38,2,2,4,,,
K\ZE?r^jrmBz,12,38,2,3,4,,,
K\]bG{^smYz~,12,42,1,2,3,,,
K\hjejJFo|j~,12,41,2,2,3,,,
K\r\RLwEwnh~,12,40,4,2,3,,,
K\vcZT[Dxfh~,12,40,4,2,3,,,
