seed_id,pair_index,first_vertex,second_vertex,toggle_action,raw_graph6,canonical_graph6,category
ET-0004,49,7,8,delete,J@qQz^cmnw?,Jr`E[xlMhm_,gamma_below_eternal
ET-0004,50,7,9,add,J@qQz^dm~w?,J@ZLUfuVty_,gamma_below_eternal
ET-0004,51,7,10,add,J@qQz^dmny?,J@ZDZnXfnw_,gamma_below_eternal
ET-0004,52,8,9,delete,J@qQz^dmfw?,J]Y@yYdT{v?,gamma_below_eternal
ET-0004,53,8,10,add,J@qQz^dmnx?,J@qaz]xtnw_,gamma_below_eternal
ET-0004,54,9,10,add,J@qQz^dmnw_,J@qaz^Um^w_,gamma_below_eternal
ET-0005,0,0,1,add,JaJe\iZ^Ju?,J@pi~JRnLu?,gamma_below_eternal
ET-0005,1,0,2,add,JQJe\iZ^Ju?,J@pi~JRnLu?,gamma_below_eternal
ET-0005,2,0,3,add,JEJe\iZ^Ju?,J@pi~JRnLu?,gamma_below_eternal
ET-0005,3,0,4,add,JAje\iZ^Ju?,J@pi~JRnLu?,gamma_below_eternal
ET-0005,4,0,5,delete,JAHe\iZ^Ju?,JAHe\iZ^Ju?,gamma_below_eternal
ET-0005,5,0,6,delete,JAJa\iZ^Ju?,JAHe\iZ^Ju?,gamma_below_eternal
ET-0005,6,0,7,delete,JAJeXiZ^Ju?,JAHe\iZ^Ju?,gamma_below_eternal
ET-0005,7,0,8,delete,JAJe\gZ^Ju?,JAHe\iZ^Ju?,gamma_below_eternal
ET-0005,8,0,9,add,JAJe\iZ~Ju?,J`Aiva^Zv{?,gamma_below_eternal
ET-0005,9,0,10,add,JAJe\iZ^Nu?,J`Aiva^Zv{?,gamma_below_eternal
ET-0005,10,1,2,add,JIJe\iZ^Ju?,JCuvYgx[zZ?,gamma_below_eternal
ET-0005,11,1,3,delete,J?Je\iZ^Ju?,J?FTmYj^Ju?,gamma_below_eternal
ET-0005,12,1,4,add,JAZe\iZ^Ju?,JCuvYgx[zZ?,gamma_below_eternal
ET-0005,13,1,5,delete,JAIe\iZ^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,14,1,6,delete,JAJc\iZ^Ju?,J@UBLh^nfU?,gamma_below_eternal
ET-0005,15,1,7,add,JAJe^iZ^Ju?,JAlpMDzfv]?,gamma_below_eternal
