# orbit_index,c01,c02,c03,c04,c12,c13,c14,c23,c24,c34
6,5,4,1,6,6,1,4,2,4,2
6,5,4,6,1,6,4,1,4,2,2
6,5,6,1,4,4,1,6,2,4,2
6,5,6,4,1,4,6,1,4,2,2
6,6,1,4,5,2,4,4,2,1,6
6,6,1,5,4,2,4,4,1,2,6
6,6,2,4,4,1,4,5,2,1,6
6,6,2,4,4,1,5,4,1,2,6
6,6,4,1,5,4,2,4,2,6,1
6,6,4,2,4,4,1,5,2,6,1
6,6,4,2,4,5,1,4,1,6,2
6,6,4,4,2,4,5,1,6,2,1
6,6,4,4,2,5,4,1,6,1,2
6,6,4,5,1,4,4,2,6,2,1
6,6,5,1,4,4,2,4,1,6,2
6,6,5,4,1,4,4,2,6,1,2
7,1,1,4,4,5,2,5,5,2,5
7,1,1,4,4,5,5,2,2,5,5
7,1,2,5,5,4,1,4,5,5,2
7,1,2,5,5,4,4,1,5,5,2
7,1,4,1,4,2,5,5,5,5,2
7,1,4,1,4,5,5,2,2,5,5
7,1,4,4,1,2,5,5,5,5,2
7,1,4,4,1,5,2,5,5,2,5
7,1,5,2,5,1,4,4,5,2,5
7,1,5,2,5,4,4,1,5,2,5
7,1,5,5,2,1,4,4,2,5,5
7,1,5,5,2,4,1,4,2,5,5
7,2,1,5,5,4,5,5,1,4,2
7,2,1,5,5,4,5,5,4,1,2
7,2,4,5,5,1,5,5,1,4,2
7,2,4,5,5,1,5,5,4,1,2
7,2,5,1,5,5,4,5,1,2,4
7,2,5,1,5,5,4,5,4,2,1
7,2,5,4,5,5,1,5,1,2,4
7,2,5,4,5,5,1,5,4,2,1
7,2,5,5,1,5,5,4,2,1,4
7,2,5,5,1,5,5,4,2,4,1
7,2,5,5,4,5,5,1,2,1,4
7,2,5,5,4,5,5,1,2,4,1
7,4,1,1,4,2,5,5,5,5,2
7,4,1,1,4,5,2,5,5,2,5
7,4,1,4,1,2,5,5,5,5,2
7,4,1,4,1,5,5,2,2,5,5
7,4,2,5,5,1,1,4,5,5,2
7,4,2,5,5,1,4,1,5,5,2
7,4,4,1,1,5,2,5,5,2,5
7,4,4,1,1,5,5,2,2,5,5
7,4,5,2,5,1,1,4,5,2,5
7,4,5,2,5,4,1,1,5,2,5
7,4,5,5,2,1,4,1,2,5,5
7,4,5,5,2,4,1,1,2,5,5
7,5,1,2,5,1,5,2,4,4,5
7,5,1,2,5,4,5,2,4,1,5
7,5,1,5,2,1,2,5,4,4,5
7,5,1,5,2,4,2,5,1,4,5
7,5,2,1,5,5,1,2,4,5,4
7,5,2,1,5,5,4,2,4,5,1
7,5,2,4,5,5,1,2,1,5,4
7,5,2,4,5,5,4,2,1,5,1
7,5,2,5,1,5,2,1,5,4,4
7,5,2,5,1,5,2,4,5,4,1
7,5,2,5,4,5,2,1,5,1,4
7,5,2,5,4,5,2,4,5,1,1
7,5,4,2,5,1,5,2,1,4,5
7,5,4,2,5,4,5,2,1,1,5
7,5,4,5,2,1,2,5,4,1,5
7,5,4,5,2,4,2,5,1,1,5
7,5,5,1,2,2,1,5,4,5,4
7,5,5,1,2,2,4,5,1,5,4
7,5,5,2,1,2,5,1,5,4,4
7,5,5,2,1,2,5,4,5,1,4
7,5,5,2,4,2,5,1,5,4,1
7,5,5,2,4,2,5,4,5,1,1
7,5,5,4,2,2,1,5,4,5,1
7,5,5,4,2,2,4,5,1,5,1
8,1,1,3,3,5,3,6,6,3,1
8,1,1,3,3,5,6,3,3,6,1
8,1,3,1,3,3,5,6,6,1,3
8,1,3,1,3,6,5,3,3,1,6
8,1,3,3,1,3,6,5,1,6,3
8,1,3,3,1,6,3,5,1,3,6
8,1,3,3,6,3,6,3,1,1,5
8,1,3,3,6,6,3,3,1,5,1
8,1,3,5,6,3,1,3,6,1,3
8,1,3,6,3,3,3,6,1,1,5
8,1,3,6,3,6,3,3,5,1,1
8,1,3,6,5,3,3,1,1,6,3
8,1,5,3,6,1,3,3,6,3,1
8,1,5,6,3,1,3,3,3,6,1
8,1,6,3,3,3,3,6,1,5,1
8,1,6,3,3,3,6,3,5,1,1
8,1,6,3,5,3,3,1,1,3,6
8,1,6,5,3,3,1,3,3,1,6
8,3,1,1,3,3,6,1,5,6,3
8,3,1,1,3,6,3,1,5,3,6
8,3,1,3,1,3,1,6,6,5,3
8,3,1,3,1,6,1,3,3,5,6
8,3,1,3,6,3,1,1,6,3,5
8,3,1,3,6,6,1,5,3,3,1
8,3,1,5,6,3,6,1,1,3,3
8,3,1,6,3,3,1,1,3,6,5
8,3,1,6,3,6,5,1,3,3,1
8,3,1,6,5,3,1,6,3,1,3
8,3,3,1,1,1,3,6,6,3,5
8,3,3,1,1,1,6,3,3,6,5
8,3,3,1,6,1,3,1,6,5,3
8,3,3,1,6,1,6,5,3,1,3
8,3,3,6,1,1,1,3,5,6,3
8,3,3,6,1,1,5,6,1,3,3
8,3,5,1,6,6,3,1,1,3,3
8,3,5,6,1,6,1,3,3,1,3
8,3,6,1,3,1,3,1,3,5,6
8,3,6,1,3,5,6,1,3,1,3
8,3,6,1,5,1,3,6,3,3,1
8,3,6,3,1,1,1,3,5,3,6
8,3,6,3,1,5,1,6,1,3,3
8,3,6,5,1,1,6,3,3,3,1
8,5,1,3,6,1,6,3,3,3,1
8,5,1,6,3,1,3,6,3,3,1
8,5,3,1,6,6,1,3,3,1,3
8,5,3,6,1,6,3,1,1,3,3
8,5,6,1,3,3,1,6,3,1,3
8,5,6,3,1,3,6,1,1,3,3
8,6,1,3,3,3,1,5,3,6,1
8,6,1,3,3,3,5,1,6,3,1
8,6,1,3,5,3,1,3,3,1,6
8,6,1,5,3,3,3,1,1,3,6
8,6,3,1,3,1,3,5,3,1,6
8,6,3,1,3,5,3,1,6,1,3
8,6,3,1,5,1,3,3,3,6,1
8,6,3,3,1,1,5,3,1,3,6
8,6,3,3,1,5,1,3,1,6,3
8,6,3,5,1,1,3,3,6,3,1
8,6,5,1,3,3,3,1,1,6,3
8,6,5,3,1,3,1,3,6,1,3
9,1,1,1,6,6,6,1,6,1,3
9,1,1,1,6,6,6,1,6,3,1
9,1,1,1,6,6,6,3,6,1,1
9,1,1,3,6,6,6,1,6,1,1
9,1,1,6,1,6,1,6,1,6,3
9,1,1,6,1,6,1,6,3,6,1
9,1,1,6,1,6,3,6,1,6,1
9,1,1,6,3,6,1,6,1,6,1
9,1,1,6,6,6,1,1,1,3,6
9,1,1,6,6,6,1,1,3,1,6
9,1,1,6,6,6,1,3,1,1,6
9,1,1,6,6,6,3,1,1,1,6
9,1,3,1,6,6,6,1,6,1,1
9,1,3,6,1,6,1,6,1,6,1
9,1,3,6,6,6,1,1,1,1,6
9,1,6,1,1,1,6,6,1,3,6
9,1,6,1,1,1,6,6,3,1,6
